pair_key,benchmark,model,n_tasks,b,policy,alpha,m,weight,variance_ratio,ratio_mc_se
aime24__model=qwen3_5_4b,aime24,qwen3_5_4b,30,64,tuned_en,,59,0.8871793265997072,0.9719804629563313,4.080291259582241e-05
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,8,tuned_en,,6,0.7260392539092148,0.9866009380200433,0.0003274864404206316
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,16,tuned_en,,14,0.8350432926431656,0.9723071223031746,9.037697837761028e-05
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,32,tuned_en,,29,0.8687410883812703,0.9741599760873221,5.877693785918169e-05
aime24__model=qwen3_5_9b,aime24,qwen3_5_9b,30,64,tuned_en,,59,0.8871793265997072,0.9757944977923889,6.316353519916346e-05
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,8,tuned_en,,6,0.7260392539092148,0.9528137015903411,0.0004222385216989624
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,16,tuned_en,,14,0.8350432926431656,0.9423861825645587,0.00011854381298042741
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,32,tuned_en,,29,0.8687410883812703,0.9423749160316485,8.338543117559778e-05
aime25__model=qwen2_5_32b,aime25,qwen2_5_32b,30,64,tuned_en,,59,0.8871793265997072,0.9451394802202436,6.156641849046553e-05
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,8,tuned_en,,6,0.7260392539092148,1.043749739530619,0.0010397285521018043
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,16,tuned_en,,14,0.8350432926431656,0.9723685114416168,0.00047578315947198956
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,32,tuned_en,,29,0.8687410883812703,0.9779428192214377,0.0003274467832489378
aime25__model=qwen2_5_3b,aime25,qwen2_5_3b,30,64,tuned_en,,59,0.8871793265997072,0.9885168312037353,0.0002981756536980699
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,8,tuned_en,,6,0.7260392539092148,0.9429823037725735,0.0005096543493588373
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,16,tuned_en,,14,0.8350432926431656,0.9323265810994219,0.0001642525582376853
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,32,tuned_en,,29,0.8687410883812703,0.9342676239338928,0.00012832669043871413
aime25__model=qwen2_5_7b,aime25,qwen2_5_7b,30,64,tuned_en,,59,0.8871793265997072,0.9375196977512393,9.876228681175799e-05
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,8,tuned_en,,6,0.7260392539092148,0.9636054953579313,0.00031674081822087607
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,16,tuned_en,,14,0.8350432926431656,0.95744997293867,9.505028283274023e-05
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,32,tuned_en,,29,0.8687410883812703,0.9565633019736832,6.465730950008883e-05
aime25__model=qwen3_5_27b,aime25,qwen3_5_27b,30,64,tuned_en,,59,0.8871793265997072,0.9580410348072554,4.4189971206236486e-05
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,8,tuned_en,,6,0.7260392539092148,0.9745307567835717,0.00043786190402536374
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,16,tuned_en,,14,0.8350432926431656,0.9537673097396064,0.00012411773514185568
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,32,tuned_en,,29,0.8687410883812703,0.9507754016782305,8.559992466381994e-05
aime25__model=qwen3_5_4b,aime25,qwen3_5_4b,30,64,tuned_en,,59,0.8871793265997072,0.9523087336130713,5.9464778637390084e-05
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,8,tuned_en,,6,0.7260392539092148,0.9648697273366645,0.00043101344790088305
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,16,tuned_en,,14,0.8350432926431656,0.949642998609256,0.00011561260453064794
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,32,tuned_en,,29,0.8687410883812703,0.9495094130533142,8.202716863097666e-05
aime25__model=qwen3_5_9b,aime25,qwen3_5_9b,30,64,tuned_en,,59,0.8871793265997072,0.9515394370150447,6.599652730504698e-05
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,8,tuned_en,,6,0.7260392539092148,0.9395822529129974,0.0004984009728031813
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,16,tuned_en,,14,0.8350432926431656,0.9362623928236918,0.0001286023975606759
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,32,tuned_en,,29,0.8687410883812703,0.9448997779339958,0.00014492803757330667
aime26__model=qwen2_5_32b,aime26,qwen2_5_32b,30,64,tuned_en,,59,0.8871793265997072,0.9476817956613479,0.0001320541159315956
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,8,tuned_en,,6,0.7260392539092148,0.9365037976635611,0.0008182692443511791
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,16,tuned_en,,14,0.8350432926431656,0.9219384355253586,0.00026352270255274924
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,32,tuned_en,,29,0.8687410883812703,0.9377241707273896,0.00019214414088819718
aime26__model=qwen2_5_3b,aime26,qwen2_5_3b,30,64,tuned_en,,59,0.8871793265997072,0.9494436127202267,0.00023043635310685548
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,8,tuned_en,,6,0.7260392539092148,0.9353231728387694,0.0006636072636467476
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,16,tuned_en,,14,0.8350432926431656,0.9218554368040531,0.00020110911052099854
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,32,tuned_en,,29,0.8687410883812703,0.9297848695280189,0.00016478473048648452
aime26__model=qwen2_5_7b,aime26,qwen2_5_7b,30,64,tuned_en,,59,0.8871793265997072,0.93633761241276,0.00013650439221531214
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,8,tuned_en,,6,0.7260392539092148,0.9761414993769979,0.000336477863875933
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,16,tuned_en,,14,0.8350432926431656,0.9627440148516336,0.00010028084468305708
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,32,tuned_en,,29,0.8687410883812703,0.9599123000151453,7.065310416632334e-05
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,64,tuned_en,,59,0.8871793265997072,0.9598292922632294,3.742546089671641e-05
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,8,tuned_en,,6,0.7260392539092148,0.9682858712032142,0.0003371648500802526
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,16,tuned_en,,14,0.8350432926431656,0.9609005575759497,8.58715233020726e-05
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,32,tuned_en,,29,0.8687410883812703,0.9641731621534118,6.563571609379708e-05
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,64,tuned_en,,59,0.8871793265997072,0.9660104226104812,6.742394142586537e-05
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,8,tuned_en,,6,0.7260392539092148,0.9657207085695447,0.00027578617806913163
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,16,tuned_en,,14,0.8350432926431656,0.9644145657214378,6.853004617534502e-05
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,32,tuned_en,,29,0.8687410883812703,0.9666604151553304,6.379247455898324e-05
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,64,tuned_en,,59,0.8871793265997072,0.9669178902408826,5.442560574559501e-05
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,8,tuned_en,,6,0.7183453899257511,0.9147613677463503,0.001237633566685637
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,16,tuned_en,,14,0.8143559404515212,0.8829877909353916,0.0004967963500091883
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,32,tuned_en,,27,0.7638454214270363,0.86347952587568,0.001019575138942155
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,64,tuned_en,,53,0.7280326870748276,0.829881606493139,0.0019215769783366293
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,8,tuned_en,,6,0.7183453899257511,0.9601264539212981,0.0013381370861363288
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,16,tuned_en,,14,0.8143559404515212,0.8935369644575583,0.0008925399423767366
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,32,tuned_en,,27,0.7638454214270363,0.8183397061417107,0.001652353520875323
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,64,tuned_en,,53,0.7280326870748276,0.7290190607619632,0.001313575973035553
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,8,tuned_en,,6,0.7183453899257511,0.9672715896292177,0.000658866450257016
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,16,tuned_en,,14,0.8143559404515212,0.9448826793587317,0.00026896691622585846
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,32,tuned_en,,27,0.7638454214270363,0.9357479852568811,0.0006467984757707006
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,64,tuned_en,,53,0.7280326870748276,0.9357598681204443,0.0009863882051216319
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,8,tuned_en,,6,0.7183453899257511,0.9659912132064956,0.00040791419528780855
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,16,tuned_en,,14,0.8143559404515212,0.9648516640368446,0.00012522100597429307
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,32,tuned_en,,27,0.7638454214270363,0.9488754860052586,0.00030920541929026863
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,64,tuned_en,,53,0.7280326870748276,0.951912499258784,0.000527801133231798
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,8,tuned_en,,6,0.7183453899257511,0.9813085172394383,0.0004836970465826937
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,16,tuned_en,,14,0.8143559404515212,0.9679323030741056,0.00018063319188492516
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,32,tuned_en,,27,0.7638454214270363,0.9641858357527473,0.0005964259764436022
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,64,tuned_en,,53,0.7280326870748276,0.9503570340870007,0.0007911089494680955
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,8,tuned_en,,6,0.709812588656468,0.9146295763311748,0.0003959829753813057
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,16,tuned_en,,13,0.7549726875071017,0.8965007300081841,0.00034741134633773616
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,32,tuned_en,,27,0.7708827922898236,0.8749056486911131,0.0003859378554656849
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,64,tuned_en,,51,0.706684150700776,0.8378611015901077,0.0006921040190723923
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,8,tuned_en,,6,0.709812588656468,0.8988459827328235,0.00043333562552053237
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,16,tuned_en,,13,0.7549726875071017,0.8674728830936059,0.0003552695844930874
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,32,tuned_en,,27,0.7708827922898236,0.841017838426793,0.0003426818221825999
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,64,tuned_en,,51,0.706684150700776,0.776692068447401,0.0006044531301430082
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,8,tuned_en,,6,0.709812588656468,0.8895737894361897,0.0006933010499059063
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,16,tuned_en,,13,0.7549726875071017,0.8553644747295339,0.0006231274705057757
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,32,tuned_en,,27,0.7708827922898236,0.8103438168969574,0.0006331894872199705
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,64,tuned_en,,51,0.706684150700776,0.7188118160491104,0.0009091222982466417
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,8,tuned_en,,6,0.709812588656468,1.0095191885089538,0.00021213073274394857
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,16,tuned_en,,13,0.7549726875071017,0.998580867848543,0.00019935161766856078
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,32,tuned_en,,27,0.7708827922898236,0.990400993588646,0.00019874880699601513
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,64,tuned_en,,51,0.706684150700776,0.9986868681887164,0.0003775383996147699
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,8,tuned_en,,6,0.709812588656468,0.9827597077765347,0.00015281516309213688
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,16,tuned_en,,13,0.7549726875071017,0.975128196788539,0.00013494332387940417
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,32,tuned_en,,27,0.7708827922898236,0.9758412982250293,0.00013142238121060685
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,64,tuned_en,,51,0.706684150700776,0.9818467108075031,0.00026146787923375767
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,8,tuned_en,,6,0.709812588656468,0.9829544456613791,0.00016363538798698846
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,16,tuned_en,,13,0.7549726875071017,0.9808430846299616,0.00014269125746036446
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,32,tuned_en,,27,0.7708827922898236,0.9871802774187421,0.0001554940236913886
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,64,tuned_en,,51,0.706684150700776,1.005248354884083,0.00035566944687325354
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,8,tuned_en,,6,0.6848819207099666,0.9690405361840215,0.0002503851318667422
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,16,tuned_en,,13,0.7220785699558987,0.9526178624323963,0.00023482783937260615
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,32,tuned_en,,27,0.7403055218814147,0.9399109576986981,0.00021245478037988836
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,64,tuned_en,,54,0.7350930292923454,0.925932430497553,0.0002062570367829038
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,8,tuned_en,,6,0.6848819207099666,0.8876238041557905,0.0004440160082785847
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,16,tuned_en,,13,0.7220785699558987,0.8690589627483531,0.0004071712627440291
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,32,tuned_en,,27,0.7403055218814147,0.8470138058346024,0.00046829961755260105
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,64,tuned_en,,54,0.7350930292923454,0.8030535224312434,0.0004829178824776886
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,8,tuned_en,,6,0.6848819207099666,0.8454310654614562,0.0004814661265866418
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,16,tuned_en,,13,0.7220785699558987,0.8010854600423329,0.00037552406278721506
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,32,tuned_en,,27,0.7403055218814147,0.7756092159157437,0.00029329304138225496
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,64,tuned_en,,54,0.7350930292923454,0.7511505141195508,0.00024307826526389376
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,8,tuned_en,,6,0.6848819207099666,0.9503695806988615,0.0008286181204422657
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,16,tuned_en,,13,0.7220785699558987,0.9422006984652317,0.0008254658690474029
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,32,tuned_en,,27,0.7403055218814147,0.9452582087549027,0.0008185314633319938
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,64,tuned_en,,54,0.7350930292923454,0.9642095043758043,0.0010502317958380387
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,8,tuned_en,,6,0.6848819207099666,0.9053886432772836,0.0004580665266968936
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,16,tuned_en,,13,0.7220785699558987,0.8870933028127117,0.0004008638255774838
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,32,tuned_en,,27,0.7403055218814147,0.8913194719742492,0.00035190567179150953
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,64,tuned_en,,54,0.7350930292923454,0.91357728774752,0.00042049193964281456
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,8,tuned_en,,6,0.6848819207099666,0.9195756592205144,0.0006428428685993974
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,16,tuned_en,,13,0.7220785699558987,0.8791601460509584,0.000554011583157847
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,32,tuned_en,,27,0.7403055218814147,0.8634179932571229,0.0004650207561018866
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,64,tuned_en,,54,0.7350930292923454,0.8678816799293503,0.000476984088104864
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,8,tuned_en,,6,0.7015753069633256,1.074657729156598,0.0007540952371041402
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,16,tuned_en,,14,0.8042625115466824,0.9937953775457472,0.000475977144956187
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,32,tuned_en,,28,0.7967533192670281,1.0447751242677357,0.000717033159297734
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,64,tuned_en,,55,0.7792100020100606,1.1206988249401995,0.0010151846639330946
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,8,tuned_en,,6,0.7015753069633256,1.001717892074122,0.0005636578351894358
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,16,tuned_en,,14,0.8042625115466824,0.9508124633550726,0.0002676602553831163
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,32,tuned_en,,28,0.7967533192670281,0.9766519571577436,0.00039954781135445437
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,64,tuned_en,,55,0.7792100020100606,1.0192320005840196,0.0005913111902835312
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,8,tuned_en,,6,0.7015753069633256,0.9944780976225036,0.0006031724828911546
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,16,tuned_en,,14,0.8042625115466824,0.940480287490538,0.00028301456521784567
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,32,tuned_en,,28,0.7967533192670281,0.9544563464449649,0.00041133346244733997
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,64,tuned_en,,55,0.7792100020100606,0.9794755580735515,0.0005798314926165396
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,8,tuned_en,,6,0.7015753069633256,0.9403704976210314,0.0002649819061906547
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,16,tuned_en,,14,0.8042625115466824,0.9391085650373808,8.64997344469473e-05
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,32,tuned_en,,28,0.7967533192670281,0.9253816547144681,0.00013492967616327605
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,64,tuned_en,,55,0.7792100020100606,0.9167673038795295,0.0001944179835363429
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,8,tuned_en,,6,0.7015753069633256,0.912910583247495,0.0003324109984458791
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,16,tuned_en,,14,0.8042625115466824,0.9126258431259159,0.00011007314562247429
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,32,tuned_en,,28,0.7967533192670281,0.9064365170043265,0.00016712784547741823
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,64,tuned_en,,55,0.7792100020100606,0.9090729622364138,0.00026434103220297073
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,8,tuned_en,,6,0.7015753069633256,0.9261933612933593,0.00028756435801086057
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,16,tuned_en,,14,0.8042625115466824,0.9242786236544243,9.231220089133981e-05
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,32,tuned_en,,28,0.7967533192670281,0.9062846713522352,0.00012994843494141078
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,64,tuned_en,,55,0.7792100020100606,0.9010637522468641,0.00017304622751303272
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,8,tuned_en,,6,0.7260392539092148,0.931605324276382,0.001048500156624413
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,16,tuned_en,,14,0.8350432926431656,0.9032027928790182,0.0004078391148755925
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,32,tuned_en,,29,0.8687410883812703,0.9122652966089664,0.00022604889638394883
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,64,tuned_en,,59,0.8871793265997072,0.9269609618685803,0.00020122619022781341
