pair_key,benchmark,model,n_tasks,b,variance_ratio
aime26__model=qwen3_5_27b,aime26,qwen3_5_27b,30,64,0.593379160833653
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,8,0.6124685136557066
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,16,0.6027951464829971
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,32,0.5982949509286741
aime26__model=qwen3_5_4b,aime26,qwen3_5_4b,30,64,0.5960622707242862
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,8,0.6352924405859133
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,16,0.627812428961781
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,32,0.6243718640187104
aime26__model=qwen3_5_9b,aime26,qwen3_5_9b,30,64,0.6226856635566674
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,8,0.20154299871241424
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,16,0.19108435952190025
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,32,0.18624605868395658
gpqa_diamond__domain_biology__model=qwen2_5_32b,gpqa_diamond__domain_biology,qwen2_5_32b,19,64,0.18391837901907906
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,8,0.17281158166349117
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,16,0.16319987181762793
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,32,0.15878878876994842
gpqa_diamond__domain_biology__model=qwen2_5_7b,gpqa_diamond__domain_biology,qwen2_5_7b,19,64,0.15667139376332817
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,8,0.4655005553588074
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,16,0.4540383331322698
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,32,0.448594162626272
gpqa_diamond__domain_biology__model=qwen3_5_27b,gpqa_diamond__domain_biology,qwen3_5_27b,19,64,0.44596283860647173
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,8,0.602077669457639
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,16,0.5895949111162158
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,32,0.5836457499417935
gpqa_diamond__domain_biology__model=qwen3_5_4b,gpqa_diamond__domain_biology,qwen3_5_4b,19,64,0.5807255580296925
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,8,0.5683447914789286
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,16,0.5566127206094589
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,32,0.5509223329738485
gpqa_diamond__domain_biology__model=qwen3_5_9b,gpqa_diamond__domain_biology,qwen3_5_9b,19,64,0.548158258470966
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,8,0.2901113919866506
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,16,0.27778494401744197
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,32,0.272064401339016
gpqa_diamond__domain_chemistry__model=qwen2_5_32b,gpqa_diamond__domain_chemistry,qwen2_5_32b,93,64,0.2692871653618937
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,8,0.2483662961545486
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,16,0.23608422783960412
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,32,0.23039226625366518
gpqa_diamond__domain_chemistry__model=qwen2_5_3b,gpqa_diamond__domain_chemistry,qwen2_5_3b,93,64,0.22764934067836318
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,8,0.13344228219118642
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,16,0.12575443945188822
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,32,0.12223562085299014
gpqa_diamond__domain_chemistry__model=qwen2_5_7b,gpqa_diamond__domain_chemistry,qwen2_5_7b,93,64,0.12054904495161267
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,8,0.6833779893966945
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,16,0.676152693418611
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,32,0.6728629972545928
gpqa_diamond__domain_chemistry__model=qwen3_5_27b,gpqa_diamond__domain_chemistry,qwen3_5_27b,93,64,0.6712227444384162
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,8,0.7024288669229645
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,16,0.6959043216331313
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,32,0.6928791184575853
gpqa_diamond__domain_chemistry__model=qwen3_5_4b,gpqa_diamond__domain_chemistry,qwen3_5_4b,93,64,0.6914007739063267
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,8,0.6961226549201507
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,16,0.6909827665779901
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,32,0.6886983609101124
gpqa_diamond__domain_chemistry__model=qwen3_5_9b,gpqa_diamond__domain_chemistry,qwen3_5_9b,93,64,0.6876084994149305
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,8,0.5623992089570329
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,16,0.5495493581499111
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,32,0.5433988167943476
gpqa_diamond__domain_physics__model=qwen2_5_32b,gpqa_diamond__domain_physics,qwen2_5_32b,86,64,0.5403921049099297
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,8,0.2715812991812641
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,16,0.25891905124874426
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,32,0.25304449449871586
gpqa_diamond__domain_physics__model=qwen2_5_3b,gpqa_diamond__domain_physics,qwen2_5_3b,86,64,0.2502061352066309
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,8,0.22514422325520791
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,16,0.21359776704161706
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,32,0.20826474015175186
gpqa_diamond__domain_physics__model=qwen2_5_7b,gpqa_diamond__domain_physics,qwen2_5_7b,86,64,0.205696836700758
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,8,0.23191182105793134
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,16,0.22233776793514964
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,32,0.21788222164667692
gpqa_diamond__domain_physics__model=qwen3_5_27b,gpqa_diamond__domain_physics,qwen3_5_27b,86,64,0.2157219493514907
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,8,0.35820698971486986
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,16,0.3487125675494071
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,32,0.3441879523572424
gpqa_diamond__domain_physics__model=qwen3_5_4b,gpqa_diamond__domain_physics,qwen3_5_4b,86,64,0.3419531834657654
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,8,0.28112683531849125
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,16,0.26974447852636957
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,32,0.2644214658500021
gpqa_diamond__domain_physics__model=qwen3_5_9b,gpqa_diamond__domain_physics,qwen3_5_9b,86,64,0.2618470603785043
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,8,0.30374392538475015
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,16,0.2930159158787864
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,32,0.2879734022115921
hle__text_only_sample100__model=qwen2_5_32b,hle__text_only_sample100,qwen2_5_32b,100,64,0.28550956414010503
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,8,0.3664024570274067
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,16,0.3567086276221545
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,32,0.3520402045744886
hle__text_only_sample100__model=qwen2_5_3b,hle__text_only_sample100,qwen2_5_3b,100,64,0.3498164987587971
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,8,0.32580923146992197
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,16,0.3145543278749511
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,32,0.30922200382802184
hle__text_only_sample100__model=qwen2_5_7b,hle__text_only_sample100,qwen2_5_7b,100,64,0.30663021677203495
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,8,0.47947633204022533
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,16,0.46733762085784725
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,32,0.46179942878828856
hle__text_only_sample100__model=qwen3_5_27b,hle__text_only_sample100,qwen3_5_27b,100,64,0.459093590646441
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,8,0.38767345187824537
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,16,0.37670608332453026
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,32,0.3714976519549962
hle__text_only_sample100__model=qwen3_5_4b,hle__text_only_sample100,qwen3_5_4b,100,64,0.36896688638027225
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,8,0.4414515084916917
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,16,0.4306278852086083
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,32,0.425777002078343
hle__text_only_sample100__model=qwen3_5_9b,hle__text_only_sample100,qwen3_5_9b,100,64,0.4234003109639194
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,8,0.23628237747790967
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,16,0.22697401891334937
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,32,0.22262351986814757
hmmt__model=qwen2_5_32b,hmmt,qwen2_5_32b,30,64,0.2205135313559209
hmmt__model=qwen2_5_3b,hmmt,qwen2_5_3b,30,8,0.3319751836238989
hmmt__model=qwen2_5_3b,hmmt,qwen2_5_3b,30,16,0.32042316790509473
hmmt__model=qwen2_5_3b,hmmt,qwen2_5_3b,30,32,0.31496845894323505
hmmt__model=qwen2_5_3b,hmmt,qwen2_5_3b,30,64,0.31231244091033405
hmmt__model=qwen2_5_7b,hmmt,qwen2_5_7b,30,8,0.28297175989981854
hmmt__model=qwen2_5_7b,hmmt,qwen2_5_7b,30,16,0.2718624434721461
hmmt__model=qwen2_5_7b,hmmt,qwen2_5_7b,30,32,0.2666333523490667
hmmt__model=qwen2_5_7b,hmmt,qwen2_5_7b,30,64,0.264104166130736
hmmt__model=qwen3_5_27b,hmmt,qwen3_5_27b,30,8,0.7419213611110234
hmmt__model=qwen3_5_27b,hmmt,qwen3_5_27b,30,16,0.7335358899483535
hmmt__model=qwen3_5_27b,hmmt,qwen3_5_27b,30,32,0.7293927668914162
hmmt__model=qwen3_5_27b,hmmt,qwen3_5_27b,30,64,0.7274415806837798
hmmt__model=qwen3_5_4b,hmmt,qwen3_5_4b,30,8,0.6188461788827213
hmmt__model=qwen3_5_4b,hmmt,qwen3_5_4b,30,16,0.609322363572644
hmmt__model=qwen3_5_4b,hmmt,qwen3_5_4b,30,32,0.6047157279408092
hmmt__model=qwen3_5_4b,hmmt,qwen3_5_4b,30,64,0.6024809018835287
hmmt__model=qwen3_5_9b,hmmt,qwen3_5_9b,30,8,0.6702324575132251
hmmt__model=qwen3_5_9b,hmmt,qwen3_5_9b,30,16,0.6641055423820564
hmmt__model=qwen3_5_9b,hmmt,qwen3_5_9b,30,32,0.6610965093508973
hmmt__model=qwen3_5_9b,hmmt,qwen3_5_9b,30,64,0.659656104467394
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_32b,100,8,0.7522316497411445
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_32b,100,16,0.7452767231649408
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_32b,100,32,0.7421188705953443
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_32b,100,64,0.7405684394460591
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_3b,100,8,0.7528721174327827
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_3b,100,16,0.7478892179690843
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_3b,100,32,0.7456885598082721
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_3b,100,64,0.7446828770726858
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_7b,100,8,0.6423290118880935
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_7b,100,16,0.6336998668601357
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_7b,100,32,0.6295330557985105
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_easy,qwen2_5_7b,100,64,0.627528845082099
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_27b,100,8,0.718145909215099
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_27b,100,16,0.7128783438113532
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_27b,100,32,0.7104355592333849
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_27b,100,64,0.7093702063338382
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_4b,100,8,0.8533289065374896
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_4b,100,16,0.8511434375838771
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_4b,100,32,0.8503081600624969
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_4b,100,64,0.8499771537462506
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_9b,100,8,0.8558927184821488
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_9b,100,16,0.8536642903600257
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_9b,100,32,0.8528554526891766
livecodebench_gt_2024_03_30__difficulty_easy__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_easy,qwen3_5_9b,100,64,0.8525390806808296
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_32b,100,8,0.14284950507594874
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_32b,100,16,0.1355776905943848
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_32b,100,32,0.13222798064534114
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_32b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_32b,100,64,0.13061764076770838
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_3b,100,8,0.05692624860607996
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_3b,100,16,0.053412830907881285
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_3b,100,32,0.051813948157592
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_3b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_3b,100,64,0.051049918531689005
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_7b,100,8,0.07454849745335057
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_7b,100,16,0.07015392415014284
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_7b,100,32,0.068146504720829
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen2_5_7b,livecodebench_gt_2024_03_30__difficulty_hard,qwen2_5_7b,100,64,0.06718530017673784
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_27b,100,8,0.5635046482301442
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_27b,100,16,0.5547792174025105
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_27b,100,32,0.5508257939621953
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_27b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_27b,100,64,0.5488965374300956
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_4b,100,8,0.4701091560485838
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_4b,100,16,0.45930098011448345
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_4b,100,32,0.45407810674448934
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_4b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_4b,100,64,0.4515683250665874
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_9b,100,8,0.5143412880191041
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_9b,100,16,0.5026491648589124
livecodebench_gt_2024_03_30__difficulty_hard__model=qwen3_5_9b,livecodebench_gt_2024_03_30__difficulty_hard,qwen3_5_9b,100,32,0.49717283820745234
