profile,model,budget,strategy,time_seconds,useful_eflop,wasted_eflop,accepted_rollouts,extra_rollouts,reference_budget,target_fingerprint,protocol_fingerprint,run_uuid
aime24__model=qwen2_5_7b,qwen2_5_7b,45,uniform,161.906343693,0.029060566207970304,0.0,1350,0,32,32077fbd14c2b87c04ef9645da86848598c652081348f2f5e5867a877c845c80,27d341b6ab68bbee84da6c0c54eca0365336930fb583fb7574e0846425a762f8,22050222a8fd465c82a23c0406c23c62
aime24__model=qwen2_5_7b,qwen2_5_7b,99,uniform,258.604125095,0.06547966320321126,0.0,2970,0,64,77a410ab86049c5451fb6c627a27244fa26f5aee43c0d3af2c48aef4c0d9f913,8048792d0ba0a2bcd828ca0385228d78f540510c79a92fc2a366bb17d82af98f,4b5a38c0385540478b920a3730bbd2a0
aime24__model=qwen3_5_27b,qwen3_5_27b,8,uniform,587.966743539,0.15119048454861006,0.0,240,0,8,d20f582a8dbbf65bcb5994c580b70a69639ed668babaf62950ad5b1a83d68047,3449669f89cdb70f8e482387b07689d9f32ad9bfa2bbaaf6b1dbed5bc29548fe,42c9cd416c3941bf86b67ff893d020b3
aime24__model=qwen3_5_27b,qwen3_5_27b,18,uniform,1238.161514143,0.343788053554559,0.0,540,0,16,3e91068c83633ca249f7184006211f4871bf37883aae209d58cfc1529ae83629,779a13a40d5c7589cdf0f90f4d2b21babb2fb66d738e112b19d8d571e7c51f7a,f953c51c89f14257a98163f134cc3afd
aime24__model=qwen3_5_27b,qwen3_5_27b,40,uniform,2531.475562761,0.7619172549366016,0.0,1200,0,32,f7ed26c56d3b91353d881ab203461eeec58b799c64e6d3952c817dd2d8ce8b0d,a4a2f9d1c0b321ac2b9fdf7fe7d0075db7745bfec4723fa0fb293a1fd995e5e0,b5de963afee64c3c94c007ff7b53cf59
aime24__model=qwen3_5_27b,qwen3_5_27b,87,uniform,5264.55277386,1.6501774655056507,0.0,2610,0,64,6bd2959bfeef5f301cb8c1c6a013007b26331f3d1a1b9f0a15d4a8c2bf57f223,ce82e2e7036162ee127f15e065dab770f2a0a4410bdd967cd1b16088241607d1,f14a3e1ff7274eb0a6360ed82bfc7d61
aime24__model=qwen3_5_4b,qwen3_5_4b,8,uniform,234.057319705,0.029592134359543807,0.0,240,0,8,0460ce5a5ef0dc0b09e7c2858b73255cc6d0beea64de41bad04657d5ef36d0db,2baf08245f0ffa8022998f62242ae5421f5e48389c650d1f5ad21402952fbc55,d405b7bedb5247b38ac61b7a1a3adf5b
aime24__model=qwen3_5_4b,qwen3_5_4b,17,uniform,496.312522107,0.06099298574266573,0.0,510,0,16,c0ecdf67450f246b40217a1d7edb6fec67de1fb883a54fdadd3383eac2248e74,f2f25d39e7bcd1f48b73aec4f1cb809b5388e243004e681422727c936ed757f7,87bba9a87c59443fb24b940456641002
aime24__model=qwen3_5_4b,qwen3_5_4b,37,uniform,968.378788318,0.13336418916257384,0.0,1110,0,32,829e76c819b924e1804f5c9dd84841f0058094cea0aa0fb2cba3b3eeee4e8a27,0ed093b85e30578843bea1931224dd9b2c4cebe304b9aebdac7c8f67667df981,2137a38f243547c19095eecf4941326a
aime24__model=qwen3_5_4b,qwen3_5_4b,79,uniform,2012.189191169,0.2846282977957847,0.0,2370,0,64,81c996ade4f8d05ccce4fdb52800ff5c9230e779a3cc449c67e2a4f480d08591,8ef018c7ceb435c2ec464392c79476a91fffce206d0db9f88ad30a6502e61351,1f030dc2fea44822a592a8bde19bf43a
aime24__model=qwen3_5_9b,qwen3_5_9b,8,uniform,264.872053118,0.0519784739101655,0.0,240,0,8,c5b615e622bd394959f89a272c8b8fbf2979afb9cc272f12ff309e2bd06c5a5e,2bee3fb5b23d39ac7b0ffd706ebfb6cecc5e4eaa9b08b61c884db19127e1b999,aec832d1e39b4a129e332d8203309a56
aime24__model=qwen3_5_9b,qwen3_5_9b,17,uniform,568.060011487,0.11284905241463296,0.0,510,0,16,3866728e51505fbbcee411434eadf8317f327f51767385e4d04b4bb86323e7c1,046bfeb6ed83a8435b2126eeecf16f05d093f23e1748ae12b82eb7d60b16aaae,b5b2b1dedc7e49538e3ef24fa82af98d
aime24__model=qwen3_5_9b,qwen3_5_9b,36,uniform,1087.845539132,0.2334399160962775,0.0,1080,0,32,c5e3fbd44607a4f6d9e548ec68697e0f509982414916458030d2a8e4d8b78875,ba78d5d5c4b52970c3b9faea65f7f96420572dece57ec663232b0379becf8304,b29e2858db7d4a5ab694e12750d21848
aime24__model=qwen3_5_9b,qwen3_5_9b,76,uniform,2224.138900741,0.49537002145619763,0.0,2280,0,64,c4ff1c5b79ec8d95ff1c94a7e56edb1a268c4808a083358c2998ffada4d7f8f4,135ac9f17583f145a9f5ea203ee4838db0883c92d8ab9a2cde3251115cd5e9de,d7b44d1b319f4b2d9684992ce3600efe
aime25__model=qwen2_5_32b,qwen2_5_32b,8,uniform,48.558141068,0.016331644078895105,0.0,240,0,8,9817702c5ec0026378929944b06ab774d93c9cce76865deaf1bbf446269750aa,d2162873eee972e08df8538c1b7d31c934b3fb40c85db2d481c006eab8fc1fe5,cff5c6e419ff43d6b052cb4d841571ba
aime25__model=qwen2_5_32b,qwen2_5_32b,19,uniform,433.981860923,0.04146505137160192,0.0,570,0,16,2df32e568aa527056c5f7ac7c0e80681a9b75abc4aefc121c9a44f89f2a2d016,445f3a20e70d0f2500c448fb05795e0002c43c49bd2a763ffa9b0191b28bb6ad,c4cc90e3adbd44eab60c0521b574a7ea
aime25__model=qwen2_5_32b,qwen2_5_32b,41,uniform,517.412369351,0.09488266470384231,0.0,1230,0,32,a940b4501c4e01734de5ccc7968efc8a96ab1845b74043d2215bb04d4793bcf8,a13c3e7722cd7494efa158bfee8d80532465f11c9f8d49fa3f91d10493614a97,dd77c47ead504057828f3a1423458c33
aime25__model=qwen2_5_32b,qwen2_5_32b,89,uniform,864.471702472,0.2036108245485568,0.0,2670,0,64,da359ad1f385a44b1f0f7a729f1a23793c7ef46bde6af92a9f4dd7ae3120ae98,a2c1f99de147bbecd093910d9d2f24d2afc1eba921966e126a9901fea9ec67fa,7e60b60e790f4c18a3a86b87658fd610
aime25__model=qwen2_5_3b,qwen2_5_3b,8,uniform,69.24951949,0.002144939902951424,0.0,240,0,8,d2d54b399bf84a9045c76650fc9fc47225ef004d1d8e0e468943ba641a3b7457,32fcdd616d34d5c2755d9dce5c149950b8ee42dcbb6bee68aef6d46a4f757a80,f375e8e1a66e402eb0d4a729a30a75c3
aime25__model=qwen2_5_3b,qwen2_5_3b,18,uniform,75.57152837,0.004991043281608704,0.0,540,0,16,0b19db34aebf18a293838997a95a975ced506499ce54b71e98703906635aef3a,af40bbfa7248edd1d53906d9b411c261fea628d2fba0f04914913cb8841e709a,e01e1509eb544412abb2bf11ab757747
aime25__model=qwen2_5_3b,qwen2_5_3b,39,uniform,85.995488819,0.00938261906649088,0.0,1170,0,32,21942b559290b8f7250dd7fef3937a0665ce09c14f587b17ef8d34882620939c,8ae2eb32ecdc71dacc99387a4e1f171efd9a274d9f33ba3a2f92d16752cd970d,1215a8d6ce9f44578f1f32e96aa6f8d0
aime25__model=qwen2_5_3b,qwen2_5_3b,85,uniform,130.570135068,0.022264962394112,0.0,2550,0,64,a812cf9cc753d28712b952fbe5f44bd11779698e4f1c3cd840b5201cc2107b63,bf7abb7d51194aef6596a6ed0272692de39f81ae8cf089ef6c2dcf65177f7ad1,977dc9d2072b4920b1e9ce004df8e57d
aime25__model=qwen2_5_7b,qwen2_5_7b,9,uniform,99.097676395,0.004732276258855936,0.0,270,0,8,b68b3feba4b60de8305fa5aa9a79b0554c15a789543abd851e6fcf5ad79f5a89,fc25315d8112153d21a83544a41582735be22e3ed64bc70548d4612a09be3bb8,e5061c19dd6643d5a2e8032cc7910fdc
aime25__model=qwen2_5_7b,qwen2_5_7b,19,uniform,109.409645552,0.01029306474387968,0.0,570,0,16,67af88a96b6e5bc6fe43caff2b48698dfdb3e6550008fa08455ec4c11254ff15,360a3ac05a515226c1935027451c34ac7bec5bab325c1ace76211f46943e78f6,d436d0aadd5a4e40a1a87381cedef0ed
aime25__model=qwen2_5_7b,qwen2_5_7b,42,uniform,137.391466382,0.022981792006175745,0.0,1260,0,32,483dde9da6362baf8b9d0053b669509a1cf90148a33e9450458df266ab9b09bc,bc5e9a5165c26c66056382d051abea9fb5591bd133f03a027cace439bb265428,c88e2aca521e4f6cb3bb5fc4b3fd3836
aime25__model=qwen2_5_7b,qwen2_5_7b,93,uniform,210.224220694,0.05212251374713958,0.0,2790,0,64,1aee54f7ae8c04de91ea753432d852b6ff2206716cce940f197bd802aaf7990c,71d315534c1171c4c76ffc44ada9043b7beabdb1f81d24140c1fab47a106a75a,9b51ee536ba747daab467bc43fa8038f
aime25__model=qwen3_5_27b,qwen3_5_27b,8,uniform,599.666704091,0.16420737722091724,0.0,240,0,8,b7b17ee98f0fd0b7f77c494bfcd973081f0c957b9245dac411ccf8fcc8fe727a,718e11527a45af5a551a61419fd40653da9c7a2a3206bf2fc69e4bfedeb31146,ff020df3a8c44bdd93f7d575f2f9658b
aime25__model=qwen3_5_27b,qwen3_5_27b,18,uniform,1367.770774524,0.37127577755488256,0.0,540,0,16,4f2a1d960ebff64e4c62da88d061b9c3162863204d656003e6d165a58d7ac68a,789363c92b8580412be7b32db0916f91f379deffd72c083c0fe8de0737555e1d,92d59b1ce620498d871e4c1e1fe4ccfb
aime25__model=qwen3_5_27b,qwen3_5_27b,38,uniform,2667.834883108,0.784558956627754,0.0,1140,0,32,77ca5ee6b8b474c8c32aa33153e0225f05f0d7d4de3734deb0100ce8644eb13a,28d408cb3279646e24e03dae94e8aee4e9cd43a645fad4ab13bd7f1db358e54b,2f23c85130d64bc0a9a14f323f41d384
aime25__model=qwen3_5_27b,qwen3_5_27b,82,uniform,5498.462252383,1.6939489028161956,0.0,2460,0,64,bf7e6fb8be702c2d0de3ba478c9de64bee78725146434664eeea8766956f37b1,eb58c626b256b9ccc397f6eadf0e508c8b42b50c059e6cd409059a46a1d7f4dd,440ecbe2f68847be84838de11820802d
aime25__model=qwen3_5_4b,qwen3_5_4b,8,uniform,275.305564437,0.03057026564753203,0.0,240,0,8,da37e2ed454c8dc8d7fb995f6f67f15ac4af460ad8b66108aab41b17f1a1f38b,db13a6da8433d90280a8f431e704bdf24354f1638ec479fa22d56d8a1790ef90,09377f9a78514eba9d0331445cd413b3
aime25__model=qwen3_5_4b,qwen3_5_4b,18,uniform,540.86634328,0.0687668434430464,0.0,540,0,16,2c41e2a8a29e24cb019c83e2a46310d95dd143847756c3244fcf95090def1528,aadb6b54ffa80bfb3a772a92f30eecaf0bd2574532a1936a55a657e2947285e3,95bde46374d74b16891fd6c7464bacfe
aime25__model=qwen3_5_4b,qwen3_5_4b,38,uniform,1064.679628029,0.14499575620071628,0.0,1140,0,32,15537eba24a796365478243b5b9637578a49d0d4a26247991b882baef1affb22,f2fd02ebbbf6a230685fd106a5b87ef126952219847e7f8131df314490f737e4,2209167b62644fc2bf0c9aab9e7686c9
aime25__model=qwen3_5_4b,qwen3_5_4b,84,uniform,2280.147378912,0.32010945361104487,0.0,2520,0,64,d9089528d160c94d776bd0207b3e8d79339f6f81a34229b856ad3cc44db8641e,7cca7ebe6362dfec4fffccbeb7277fbab852f918782a07faf056a6156ad1a6b3,443b4a2443c04f92ba6934ddb8c2190c
aime25__model=qwen3_5_9b,qwen3_5_9b,8,uniform,274.280794881,0.054131539533312,0.0,240,0,8,fedc8b8bed142dd3cfdfbbe3b47a5745d81c6a89ee0727dfabf575e044992640,f5d449a7b7b17454bcbcef5ab053ef53d6694c254610e1243925a8d12f0f92ce,e2dffdfb52b547f09caf456693a91fdc
aime25__model=qwen3_5_9b,qwen3_5_9b,18,uniform,591.99189911,0.12344022948195225,0.0,540,0,16,0f1ee04fca27737a10a1bb192915855288982d3f2f82bfecf37f646e493c245a,e2cdd198fa3a2a742d93f286aad815dfa69cc628533b0b6259aaea28080d3c4d,af60e47e73264e0ab9fa05568f6748d8
aime25__model=qwen3_5_9b,qwen3_5_9b,39,uniform,1222.539451532,0.2666565149815337,0.0,1170,0,32,c822cf35d44eb8b907611627a37ba4e0911b7feb53f3d0ac0ac83f99b65df642,6c34429ea73f1808c7ebc26a17f6364f2b80cf3b64be833faffcddb45c073998,de37138687ba4ed99ec9908c2e631579
aime25__model=qwen3_5_9b,qwen3_5_9b,85,uniform,2645.197101809,0.5839964816801413,0.0,2550,0,64,d27a972b5613811e47e190d51f34e8e5177de72adb3bc10eb844434602d98e8f,ae00d0447c2e1390b68bc34a47c8d32ba3d2f610eb3a46f6768fb5aca3d08f43,7b5085c300ba417889f76debb3e993cf
aime26__model=qwen2_5_32b,qwen2_5_32b,9,uniform,396.376108172,0.022420701520254976,0.0,270,0,8,d78088f5cdfe6b24d47c4a314f6e03767fec9f698cd64d63b24a224f31ecb2f7,ccff63d823d5cd14fec85a77958257774b8133fe4d6ba51e4f1c7a3dc912501d,6d807c74b405408eab8648bd4f124bb2
aime26__model=qwen2_5_32b,qwen2_5_32b,19,uniform,561.030416318,0.04844559809563443,0.0,570,0,16,e1d3bec31c2c8b2be41eb89bf5ff17355438127be048a114262d407e5158a5aa,7f63a97b0ea637685520e663c1647e465ccc2c3a3a2e7e34dadafde9a05127db,c0f7d20e25824d14b94ff787c13e5303
aime26__model=qwen2_5_32b,qwen2_5_32b,42,uniform,659.979133443,0.11648798940567552,0.0,1260,0,32,a068676226e7558c6b9613b7053b8823e14a89661562fd461700558176218751,7677b5cd25837ec4c4244d889ebc47302f8b6dec1a9aef81461d72480ca912c9,0687b9eb672d451b82d32de9c452b2b0
aime26__model=qwen2_5_32b,qwen2_5_32b,91,uniform,896.737314931,0.22817533471531007,0.0,2730,0,64,40f322e59fbbf98ad19723357f855e382001417136cef01c460c52354213fce3,751ee3d58babf061df316f80a3cb5881846e5ab574afb2d56f129b860ee78433,9c90850371c94e4c8dfe9b9b76fee064
aime26__model=qwen2_5_3b,qwen2_5_3b,9,uniform,73.500871899,0.003069510259933184,0.0,270,0,8,be880cdc6c15a6244056ded19ddb7ac2ba85b12300d9706ce9a50fe6a61479c6,9670b7f8cdb4ff51df8632eb31f797194ce5f8a6097bd9b96ad58e7da40e4201,846fd311292141a6ab4946170e6373bb
aime26__model=qwen2_5_3b,qwen2_5_3b,20,uniform,87.879793449,0.007052359176880128,0.0,600,0,16,c9924511be08b02d0205913d0649505d00be9b51542e707c2df5e54f94bfaf54,21ba91d2176594f3a8dc6acb8b6e70b033e20d117d61f866de85bf66ae42f0d3,58351a50625444a485373d8c28c9f89c
aime26__model=qwen2_5_3b,qwen2_5_3b,46,uniform,112.928137888,0.016090208271204352,0.0,1380,0,32,84dbc4315e31fa94eef6867275b44ab7a82645ba1e2eef5ff6569f0ec242f45e,fa5bb8b1993f865f8d2ad81fb8a61716a17d7ad7f205ff4adafb2e1dd66016ef,ce1ff89e5cd64643ae29ad7ac6a78853
aime26__model=qwen2_5_3b,qwen2_5_3b,101,uniform,211.711449018,0.03814588349958554,0.0,3030,0,64,10882317a16b8293426f8c0d4d32553a008efe0a899126de1487e20d56383b95,00b53f940e56a4e2659bb28b8725aaa2466fa17ad71428239e43099d409b5515,3ac41bf5dd4f4656a3040ca71cb88e56
aime26__model=qwen2_5_7b,qwen2_5_7b,9,uniform,99.648973519,0.005446507054313472,0.0,270,0,8,fc7d899b2748ffde1187deade4eea0bac9dceab459500cca8ce19397411c79aa,5f82fe708359eed43f5f04c149620335b40ac278bb081cec62d76b7692aeea64,cf329ebf1eb9466c9ed08eaa0be24792
aime26__model=qwen2_5_7b,qwen2_5_7b,21,uniform,122.923698689,0.013308598194260992,0.0,630,0,16,f55bd5f66870a76bd6a36463d8679610d8615ed66b10d1549e0791500c5cca8d,7242fa7d99faa2ad460423e628ce2b55dbad4c78a56a5ecf47ee6e9b611973f3,9f1cea2f51504f6887ef6f18a694bd83
aime26__model=qwen2_5_7b,qwen2_5_7b,45,uniform,189.627498592,0.02956889186402816,0.0,1350,0,32,7328dca1160d53e9a1e2940b9b5f39d5de062f328d46a3270cdf606321c58441,14b52deb8a961a37ab95d4242d1f1bcf86526ff0fe240fca7f9c670a45117771,6d5be6cd70f24274bfc0b62e2aead554
aime26__model=qwen2_5_7b,qwen2_5_7b,99,uniform,259.253743334,0.06833439051225293,0.0,2970,0,64,77b505959b310673522e2d6ee25b128a8735ef8e8315dea435af1d835a3fbb3e,e2d3905519ce42c146f59a2dee5041b1c2d4cca4109010acbb1f22cae3d4c71c,0fa111f150ef4ba08bb402f3ec090861
aime26__model=qwen3_5_27b,qwen3_5_27b,8,uniform,593.844438158,0.1576280927143557,0.0,240,0,8,333f01486e6f0e365bf99281225cb674dbeb1beae7114a7f6dd663ebd401ca41,517fb841b0a456d7e629a86b568119c2e3446ba14cbc188f9f40fc4cbc36df81,b6d6db7edc23454da2f6a7a706f0b42e
aime26__model=qwen3_5_27b,qwen3_5_27b,17,uniform,1231.445691092,0.3382452825311478,0.0,510,0,16,9072203e35849c301ed52e85c44f3c9f97d4bb58544c9d99af1d1e44fc9de48e,eee5f6843d7625cb1e1a8d01beeec8e85851e905bd277108f1372d5aacf248d3,0547be793de14809b8f9c2a7610d49f1
aime26__model=qwen3_5_27b,qwen3_5_27b,37,uniform,2413.698163816,0.7326816281500058,0.0,1110,0,32,f8d7415b76c14785a6e0b49f13b7121cf6a0c72aed98cb64abe35d26dbd11f9a,d6b3e5d15533450c34097b914ab1a30b9bef4424192fbfc47086f43030af67eb,c00979e3076a45ed8c3887b705c02b7e
aime26__model=qwen3_5_27b,qwen3_5_27b,80,uniform,5105.275445277,1.5847613426656204,0.0,2400,0,64,b6ad64ac199eb650b98c58edbf43f1488d008b643e933928f7344c87a5d79200,7a9ce748d7e1ac424ec87ace3cd7dd26773943cdc55abfa9697c92ffe0143c33,1c53ad748e7b48f6bb29f5a56f724ef3
aime26__model=qwen3_5_4b,qwen3_5_4b,8,uniform,264.151939161,0.029782886335952895,0.0,240,0,8,8b4cb7b0bea8f38dbaec3963a36c1817eae6364e25244575affb81e534ff462b,3bb21aca1a57e252e260cb9425643207630f1e27be9598d3f55b0a1be3619627,016b36709d94442bbc958ff5b5fe481b
aime26__model=qwen3_5_4b,qwen3_5_4b,18,uniform,518.574705284,0.06733749171489382,0.0,540,0,16,076156dd0e56d7218519f26fd921d4214fc586fba7718b55f4ceb21a44c0db84,2faa9fdcec395c66025a2661169f5090b105d81550a61ba597e50902aaa1b19a,cfa37a8bd91a4fda94f8956013fdcbd1
aime26__model=qwen3_5_4b,qwen3_5_4b,38,uniform,1044.563220927,0.14116590955807745,0.0,1140,0,32,2c521292e903ad84c116dc4e98d62e2d9225902f7c0b4344b6b08b708bc6e2f0,30b4e10a4ceead60fcc33cf25f7b8fefd623206d12e7639ee98290aaeca75d57,d2b4b9e31f254a2eb0c68e658b2b7af4
aime26__model=qwen3_5_4b,qwen3_5_4b,80,uniform,2112.176443884,0.2986702388642263,0.0,2400,0,64,8d0ae32fe37058ed514b8a45fc339878f5e1958b863a020cdb48d1fdafaf816e,718f8cff00be63a5a4713b32459d961fdbc2b5d81fce4777bf159c667d84626f,828cb30fe24142c4a78ecd3a4d72a0b3
aime26__model=qwen3_5_9b,qwen3_5_9b,8,uniform,291.285139411,0.05388396958872474,0.0,240,0,8,a5ce452b01b021d194dcb34ee796b0b11f41393c83f03d0688bc1b2e42a80216,c6d434f8c98ecf1bdb3c81d38e413d547910b2c98be6a6f6a45c503bf9849c82,b3b02f74ffba4595849dff7bee88e6f3
aime26__model=qwen3_5_9b,qwen3_5_9b,17,uniform,582.706220352,0.11674069655257395,0.0,510,0,16,ef09c1cc775812b6201ed3d1bf6c5c58e6dd43ed66e3ed545fb70410f2603ca0,a612472f3f3394977f484c4e4fa64ceebf029abb8290e0f7689c53a37c39742c,d8941e2a3a9e4d4d873a1048d6f0c67d
aime26__model=qwen3_5_9b,qwen3_5_9b,37,uniform,1178.21519313,0.2527784109226127,0.0,1110,0,32,0cb3daa13c9ffe59e7d8008e7e7b6b08f8e664e8128208c20bd95ddba8280d8c,b04532714f8d9de7e5f1be9e3d4c3b8e2e3cca471883989ad14382173bee12c1,2b7b784701c74b4c8e10070a61068d21
aime26__model=qwen3_5_9b,qwen3_5_9b,79,uniform,2404.259269493,0.5361936373266453,0.0,2370,0,64,b29a08d7d529dc2010bc06431a1427a12e9d8b0594063ab8afcfa85f106bf7b0,1c24c848413f6a5790bbe20e68b6a21fd5c1c6531cb96cd5435e75177593dc25,42de94bc9bda40b29eba2fbc21a103b4
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,9,uniform,26.694648227,0.005323371617683456,0.0,171,0,8,41246bf9ab156aa6ff6790fb6a7f1767224a3e77e0823552c845310e51146096,151ae4090d7b2001dd66e26adc1820f44640de65a0dd781f0eca963800211126,9aa8da1fe5b04b69aee5d6b2c0062694
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,21,uniform,397.665099548,0.013591538221185024,0.0,399,0,16,d8913e2c3bfe3489e13e473befcc40439317a20dc1214393f12ed7dace6c239c,674004f940265ed0e55208bec2f8b4a510e2dcc4583deabd99cd2cc07d4831ae,7b382ab14e764fff9bbf97ddd27492cc
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,49,uniform,50.994471572,0.028732299220998143,0.0,931,0,32,86c3b2cd45fe227afcd628e778e16c1a1c1b43e6724ee1f09ec04eb65423d2cd,302014322ff83b8284575eae8a1aad5881b2e4c6558fcfbe085f0b4aa516e29d,02d7a9be88df40b387fdc1773b2db8ce
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,115,uniform,449.323379359,0.07075552965159936,0.0,2185,0,64,7759b81f35d9d8a5e2c6ca2f4e41a5f086564601721f54b3e80b767daf261e01,5612c29df08775f9f8d144f018b449b7b36063528d61a62af4be0d5cd9115d95,cb09f90c257f4df181c9031f24bb9b6b
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,9,uniform,1.229182784,0.000997932300244992,0.0,171,0,8,19743c9a6192cee73a1af9460cfd37543e1a008a42e243edd815e0ac1a4286f8,b28f30c4ec0065b0f490a4a2f9cb385efe2312e1cae1d1db717f1e1e7341caa4,fdf03d1dd6b746efa5e68cfe34c47ebf
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,20,uniform,2.343500052,0.00221762733387776,0.0,380,0,16,174b4d6185ff113ee142b94e0139a166db236f638b5f6444048580fafdc911ea,9867bf9e546d16490a95d88e18010927cad3da5a922a6ed946b51f0dcf05c15c,ffeb463ef4b74424a0fedc32dd85bf1d
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,48,uniform,5.36308875,0.005322305601306624,0.0,912,0,32,39ecc13c9e53c65c56223d262ab0c10b0d7a52e8e86f71d65c76cbe14b09f31a,fe2cbe9276f40eb4845f8be0684b5a3a5a633c9bfb124dec7eb8c49275aecb5c,c4cbb380554f4b818c73c77bc3f6853b
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,120,uniform,13.180084662,0.01330576400326656,0.0,2280,0,64,41b8f84f59030721fcd0741f29048caa3c884991bb2359d26eb5e688afa4106d,40e0c916afe7db8feb87db36e21b30ad003ae784e5b85de30f1f4b7e55b8946b,3ad45b515d8d4460a9ac9a5d0162838f
gpqa_diamond__domain_biology__model=qwen3_5_27b,qwen3_5_27b,8,uniform,447.585093636,0.06916908073914163,0.0,152,0,8,8c0a3050d49692ec9220f0f9217ab46d72244501e53cd4770e9ab5096faed9b0,6d0064a140f82f6eccc2a23183e0b0b303f3248e747a57b1292f378e1dd99e92,61754d8b3f674470b2413649fd5545f5
gpqa_diamond__domain_biology__model=qwen3_5_27b,qwen3_5_27b,18,uniform,662.957445893,0.15301931899545396,0.0,342,0,16,2def71363491ca86f80f7911ad92d6ba2f2ae451d492819c509a4feec8b4a94a,01394e9bfcdc8ee45d2c1bcc008af42406a289cf88c455a47b92344f44b71099,7671cdf864c54662a76bc9e8b3ec6dde
